City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Pontian Kecil,MY,78.93,overcast clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
5,Del Rio,US,89.71,clear sky,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
11,Hilo,US,80.8,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
12,Mecca,SA,86.04,few clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
16,Victoria,HK,84.33,overcast clouds,22.2855,114.1577,Mini Hotel Central
23,Dyersburg,US,82.98,light rain,36.0345,-89.3856,Hampton Inn Dyersburg
24,Atuona,PF,77.81,few clouds,-9.8,-139.0333,Villa Enata
25,Boa Vista,BR,91.38,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
29,Kapaa,US,80.58,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
31,Kavieng,PG,82.63,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
32,Barra Do Garcas,BR,88.77,overcast clouds,-15.89,-52.2567,Hotel Pousada Tropical
36,Arlit,NE,88.23,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
44,Butaritari,KI,82.42,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
45,Saint George,US,90.07,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
55,Thinadhoo,MV,82.6,scattered clouds,0.5333,72.9333,
57,Panaba,MX,87.48,broken clouds,21.2833,-88.2667,Posada rosario
65,Puerto Colombia,CO,84.29,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
67,San Patricio,US,92.12,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
68,Hambantota,LK,79.14,scattered clouds,6.1241,81.1185,Bungalow 63
69,Bata,GQ,77.29,light rain,1.8639,9.7658,Hotel Elik Melen
71,Sorong,ID,77.52,overcast clouds,-0.8833,131.25,waigo splash hotel
72,Puerto Carreno,CO,87.46,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
75,Poya,NC,80.4,clear sky,-21.35,165.15,
80,Havelock,US,79.03,scattered clouds,34.8791,-76.9013,Sherwood Motel
83,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
87,Hithadhoo,MV,82.96,broken clouds,-0.6,73.0833,Scoop Guest House
88,Paracuru,BR,82.42,clear sky,-3.41,-39.0306,Hotel Vento Brasil
90,Adrar,MR,93.31,clear sky,20.5022,-10.0711,
92,Itacare,BR,80.49,scattered clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
94,Atar,MR,94.44,scattered clouds,20.5169,-13.0499,Oumou Elghoura
101,Matara,LK,77.14,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
105,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
110,Damaturu,NG,83.68,clear sky,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
