City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Pontian Kecil,MY,1.4801,103.3899,78.93,82,98,1.63,overcast clouds
1,Ambilobe,MG,-13.2,49.05,67.91,83,9,3.47,clear sky
2,Krasnoye,UA,49.9145,24.6134,51.19,56,14,11.52,few clouds
3,Punta Arenas,CL,-53.15,-70.9167,44.71,57,0,34.52,clear sky
4,Ribeira Grande,PT,38.5167,-28.7,71.83,89,24,6.46,few clouds
5,Del Rio,US,29.3627,-100.8968,89.71,49,1,0.0,clear sky
6,Richards Bay,ZA,-28.783,32.0377,58.21,84,100,5.23,light rain
7,Barrow,US,71.2906,-156.7887,28.42,86,90,16.11,mist
8,Ushuaia,AR,-54.8,-68.3,40.66,75,75,36.82,light rain
9,Rikitea,PF,-23.1203,-134.9692,73.69,63,79,15.79,broken clouds
10,Saldanha,ZA,-33.0117,17.9442,50.05,74,0,24.63,clear sky
11,Hilo,US,19.7297,-155.09,80.8,70,90,6.91,overcast clouds
12,Mecca,SA,21.4267,39.8261,86.04,44,21,3.13,few clouds
13,Dingle,PH,10.9995,122.6711,75.4,94,100,4.52,moderate rain
14,Ancud,CL,-41.8697,-73.8203,51.33,75,82,8.41,broken clouds
15,Walvis Bay,NA,-22.9575,14.5053,54.09,87,0,6.91,clear sky
16,Victoria,HK,22.2855,114.1577,84.33,81,88,1.01,overcast clouds
17,Coos Bay,US,43.3665,-124.2179,76.32,70,1,19.57,clear sky
18,Henties Bay,NA,-22.116,14.2845,53.85,91,0,1.68,clear sky
19,Khed,IN,17.7167,73.3833,76.3,94,100,2.73,overcast clouds
20,Alofi,NU,-19.0595,-169.9187,76.89,88,74,14.97,light rain
21,Mahebourg,MU,-20.4081,57.7,72.25,83,40,11.5,scattered clouds
22,Airai,TL,-8.9266,125.4092,61.43,57,11,1.3,few clouds
23,Dyersburg,US,36.0345,-89.3856,82.98,57,40,9.22,light rain
24,Atuona,PF,-9.8,-139.0333,77.81,75,14,17.49,few clouds
25,Boa Vista,BR,2.8197,-60.6733,91.38,49,40,11.5,scattered clouds
26,Hermanus,ZA,-34.4187,19.2345,53.91,71,60,9.71,light rain
27,Narsaq,GL,60.9167,-46.05,41.22,65,0,4.68,clear sky
