City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2021-10-03 00:39:32,-53.15,-70.9167,42.91,81,75,9.22
1,Sorland,NO,2021-10-03 00:40:00,67.667,12.6934,53.73,81,100,17.02
2,Tezu,IN,2021-10-03 00:41:00,27.9167,96.1667,72.88,97,100,3.11
3,Padang,ID,2021-10-03 00:40:17,-0.9492,100.3543,75.25,76,88,1.05
4,Vegreville,CA,2021-10-03 00:41:01,53.5001,-112.0518,59.7,29,100,5.75
5,Lavrentiya,RU,2021-10-03 00:39:26,65.5833,-171.0,29.08,74,7,6.51
6,Ushuaia,AR,2021-10-03 00:39:42,-54.8,-68.3,42.46,75,75,16.11
7,Mataura,NZ,2021-10-03 00:39:26,-46.1927,168.8643,55.47,68,100,2.04
8,Kouqian,CN,2021-10-03 00:41:02,43.6391,126.4578,58.75,84,100,13.44
9,Naryan-Mar,RU,2021-10-03 00:41:02,67.6713,53.087,35.83,80,100,8.88
10,Rikitea,PF,2021-10-03 00:41:03,-23.1203,-134.9692,73.35,66,0,20.83
11,Praia,CV,2021-10-03 00:41:03,14.9215,-23.5087,79.34,78,20,9.22
12,Yar-Sale,RU,2021-10-03 00:41:04,66.8333,70.8333,27.93,87,29,10.89
13,Busselton,AU,2021-10-03 00:41:04,-33.65,115.3333,57.04,49,12,14.5
14,Pisco,PE,2021-10-03 00:41:04,-13.7,-76.2167,62.65,82,0,14.97
15,Iqaluit,CA,2021-10-03 00:41:05,63.7506,-68.5145,31.73,93,1,3.0
16,New Norfolk,AU,2021-10-03 00:41:05,-42.7826,147.0587,57.9,70,100,3.0
17,La Ronge,CA,2021-10-03 00:38:59,55.1001,-105.2842,57.45,54,90,3.44
18,Aliaga,PH,2021-10-03 00:41:06,15.5167,120.8667,81.16,80,98,0.83
19,Caravelas,BR,2021-10-03 00:41:06,-17.7125,-39.2481,75.47,84,1,13.06
20,Coquimbo,CL,2021-10-03 00:41:07,-29.9533,-71.3436,55.13,82,0,12.66
21,Georgiyevka,KZ,2021-10-03 00:41:07,43.0369,74.7114,32.04,100,90,4.47
22,Salalah,OM,2021-10-03 00:41:08,17.0151,54.0924,80.69,89,75,9.22
23,Mascote,BR,2021-10-03 00:41:09,-15.5631,-39.3025,69.62,95,2,4.03
24,Bethel,US,2021-10-03 00:38:48,41.3712,-73.414,64.92,86,1,3.44
25,Lebu,CL,2021-10-03 00:41:10,-37.6167,-73.65,48.54,70,5,17.36
26,Castro,BR,2021-10-03 00:41:10,-24.7911,-50.0119,60.58,98,100,3.51
27,Nantucket,US,2021-10-03 00:41:11,41.2835,-70.0995,66.99,83,1,14.97
28,Ribeira Grande,PT,2021-10-03 00:41:11,38.5167,-28.7,71.8,89,92,11.14
29,Orange Cove,US,2021-10-03 00:36:48,36.6244,-119.3137,91.06,18,1,4.61
30,Hermanus,ZA,2021-10-03 00:39:34,-34.4187,19.2345,51.91,65,27,0.92
31,Kapaa,US,2021-10-03 00:38:21,22.0752,-159.319,87.78,71,90,4.0
32,Cape Town,ZA,2021-10-03 00:36:36,-33.9258,18.4232,52.12,70,40,4.61
33,Nizhniy Ingash,RU,2021-10-03 00:41:13,56.2,96.53,35.55,87,93,6.06
34,Umm Lajj,SA,2021-10-03 00:41:13,25.0213,37.2685,80.1,65,0,13.06
